Order_ID,Order_Date,State,Region,Product,Category,Customer_Type,Quantity,Unit_Price,Sales,Profit,Discount_%,Payment_Mode
70001,25-06-2023,New Jersey,East,Mouse,Accessories,Corporate,4,33920,135680,29396,5.3,Credit Card
70002,16-07-2023,Tennessee,South,Headphones,Accessories,Retail,7,18710,130970,14440,29.33,UPI
70003,26-01-2023,Washington,West,Mouse,Accessories,Corporate,3,55229,165687,20891,8.83,Credit Card
70004,09-03-2023,Wisconsin,Central,Mobile,Electronics,Online,2,17701,35402,3899,3.92,Net Banking
70005,31-07-2023,Georgia,South,Mouse,Accessories,Retail,7,37454,262178,2069,21.59,Debit Card
70006,14-04-2023,Illinois,Central,Tablet,Electronics,Retail,11,19118,210298,27451,14.15,Debit Card
70007,15-12-2023,Maryland,East,Mouse,Accessories,Corporate,1,52676,52676,186,9.69,Credit Card
70008,05-07-2023,North Carolina,South,Headphones,Accessories,Online,10,48064,480640,70773,4.91,UPI
70009,24-01-2023,Florida,South,Tablet,Electronics,Online,10,11397,113970,-3553,13.41,Credit Card
70010,14-03-2023,New York,East,Laptop,Electronics,Retail,7,28579,200053,21779,16.44,Debit Card
70011,12-12-2023,Texas,South,Mobile,Electronics,Retail,9,51428,462852,57313,21.12,Debit Card
70012,12-02-2023,Wisconsin,Central,Tablet,Electronics,Online,8,22198,177584,45692,1.73,Net Banking
70013,07-08-2023,Georgia,South,Mobile,Electronics,Corporate,2,19418,38836,10504,13.16,Credit Card
70014,17-06-2023,New York,East,Mouse,Accessories,Corporate,4,32173,128692,20633,28.6,Debit Card
70015,10-03-2023,New York,East,Monitor,Electronics,Retail,4,29887,119548,30426,28.21,UPI
70016,01-01-2023,Wisconsin,Central,Mobile,Electronics,Online,2,18632,37264,85,13.46,Debit Card
70017,17-03-2023,Illinois,Central,Monitor,Electronics,Online,4,36825,147300,6934,4.06,Credit Card
70018,08-11-2023,Washington,West,Mobile,Electronics,Corporate,7,23489,164423,-3386,22.25,Credit Card
70019,08-09-2023,Michigan,Central,Mobile,Electronics,Online,6,57857,347142,86860,21.25,UPI
70020,07-01-2023,Illinois,Central,Monitor,Electronics,Corporate,11,49334,542674,90810,26.34,Credit Card
70021,03-10-2023,Texas,South,Laptop,Electronics,Corporate,1,39780,39780,-1567,0.23,Debit Card
70022,14-02-2023,Ohio,Central,Headphones,Accessories,Corporate,5,55071,275355,62392,14.24,Debit Card
70023,11-07-2023,North Carolina,South,Mouse,Accessories,Corporate,11,51141,562551,100583,15.41,Net Banking
70024,22-11-2023,Tennessee,South,Laptop,Electronics,Corporate,1,34085,34085,2429,24.4,Debit Card
70025,09-11-2023,Indiana,Central,Monitor,Electronics,Retail,5,7664,38320,-160,23.88,Net Banking
70026,02-06-2023,Washington,West,Mobile,Electronics,Retail,9,22799,205191,46392,21.57,Credit Card
70027,03-07-2023,New York,East,Mobile,Electronics,Corporate,7,10637,74459,-34,25.43,Net Banking
70028,23-04-2023,Missouri,Central,Laptop,Electronics,Retail,9,16920,152280,36855,13.64,Debit Card
70029,09-09-2023,Tennessee,South,Monitor,Electronics,Corporate,9,52272,470448,94389,23.13,Debit Card
70030,09-07-2023,Pennsylvania,East,Laptop,Electronics,Corporate,11,58618,644798,163412,8.69,Credit Card
70031,18-10-2023,Indiana,Central,Laptop,Electronics,Corporate,8,9078,72624,9158,6.18,Credit Card
70032,09-11-2023,Massachusetts,East,Headphones,Accessories,Retail,1,20292,20292,5360,22.3,Net Banking
70033,21-07-2023,Virginia,East,Mouse,Accessories,Retail,9,38708,348372,58460,18.31,UPI
70034,08-02-2023,California,West,Mouse,Accessories,Retail,9,36181,325629,2201,13.03,UPI
70035,18-09-2023,Pennsylvania,East,Laptop,Electronics,Retail,2,19412,38824,10938,19.67,Credit Card
70036,18-05-2023,Arizona,West,Keyboard,Accessories,Online,7,26876,188132,-9328,4.19,Credit Card
70037,10-12-2023,North Carolina,South,Mouse,Accessories,Retail,4,12827,51308,4290,26.66,Debit Card
70038,15-07-2023,Virginia,East,Laptop,Electronics,Retail,2,47935,95870,2740,9.7,Debit Card
70039,14-03-2023,Michigan,Central,Tablet,Electronics,Online,11,15507,170577,24465,4.86,Net Banking
70040,06-12-2023,New York,East,Headphones,Accessories,Online,7,32924,230468,41967,9.42,Debit Card
70041,15-09-2023,Maryland,East,Tablet,Electronics,Retail,10,55387,553870,68503,0.32,Debit Card
70042,12-07-2023,Indiana,Central,Headphones,Accessories,Online,1,33377,33377,-1321,12.7,Net Banking
70043,16-12-2023,Indiana,Central,Tablet,Electronics,Retail,11,7395,81345,22237,18.72,UPI
70044,03-04-2023,Missouri,Central,Mobile,Electronics,Online,9,37556,338004,94062,15.62,Net Banking
70045,10-09-2023,Georgia,South,Tablet,Electronics,Corporate,7,40261,281827,-13639,11.19,Net Banking
70046,13-03-2023,Indiana,Central,Monitor,Electronics,Retail,4,37326,149304,29318,25.94,Net Banking
70047,07-10-2023,Indiana,Central,Mouse,Accessories,Retail,8,33730,269840,53477,8.53,Debit Card
70048,11-01-2023,Indiana,Central,Mouse,Accessories,Retail,11,17855,196405,49581,6.13,Net Banking
70049,22-08-2023,Washington,West,Laptop,Electronics,Retail,1,17004,17004,1226,22.1,Debit Card
70050,19-10-2023,North Carolina,South,Keyboard,Accessories,Corporate,11,5018,55198,14606,7.88,Credit Card
70051,14-11-2023,Wisconsin,Central,Tablet,Electronics,Retail,5,57232,286160,44305,7.37,UPI
70052,01-06-2023,New York,East,Monitor,Electronics,Corporate,5,58637,293185,67861,26.27,Debit Card
70053,03-04-2023,California,West,Keyboard,Accessories,Online,6,5657,33942,8685,0.56,Credit Card
70054,05-09-2023,Illinois,Central,Keyboard,Accessories,Corporate,7,17853,124971,1440,3.57,Debit Card
70055,13-08-2023,New York,East,Headphones,Accessories,Retail,1,58586,58586,4780,18.3,Credit Card
70056,30-05-2023,Virginia,East,Mobile,Electronics,Online,2,34250,68500,17479,28.24,Net Banking
70057,23-12-2023,Missouri,Central,Keyboard,Accessories,Corporate,10,54666,546660,153768,25.77,Debit Card
70058,09-03-2023,Michigan,Central,Tablet,Electronics,Retail,7,21319,149233,-3848,1.79,Credit Card
70059,08-08-2023,North Carolina,South,Mobile,Electronics,Corporate,10,57904,579040,100652,2.12,UPI
70060,20-01-2023,Massachusetts,East,Mouse,Accessories,Corporate,6,31902,191412,45660,7.17,Net Banking
70061,05-01-2023,Missouri,Central,Mouse,Accessories,Retail,5,13432,67160,1377,27.7,UPI
70062,03-10-2023,North Carolina,South,Mobile,Electronics,Retail,8,21989,175912,1621,14.57,Net Banking
70063,03-02-2023,New York,East,Keyboard,Accessories,Online,4,11542,46168,-457,9.62,Credit Card
70064,04-05-2023,Wisconsin,Central,Monitor,Electronics,Corporate,1,11657,11657,422,9.3,Net Banking
70065,14-10-2023,Illinois,Central,Mobile,Electronics,Retail,3,1243,3729,514,4.89,UPI
